timestamp,isNeg,taxel_id,adc
1623999731.5026014,0,49,638
1623999731.5028243,0,49,422
1623999731.5186186,0,49,370
1623999731.5346906,0,49,362
1623999731.5348477,0,49,356
1623999731.55052,0,49,338
1623999731.550699,0,49,327
1623999731.56652,0,49,324
1623999731.5831325,0,49,317
1623999731.5832715,0,49,301
1623999731.5987005,0,49,291
1623999731.614602,0,49,281
1623999731.630693,0,49,285
1623999731.6307638,0,49,280
1623999731.6465468,0,49,274
1623999731.662543,0,49,264
1623999731.6626904,0,49,257
1623999731.678526,0,49,254
1623999731.694595,0,49,251
1623999731.694677,0,49,250
1623999731.7105107,0,49,248
1623999731.7111466,0,49,247
1623999731.742618,0,49,246
1623999731.7427945,0,49,244
1623999731.7584763,0,49,242
1623999731.775111,0,49,241
1623999731.7906249,0,50,885
1623999731.7907317,0,49,258
1623999731.790888,0,50,607
1623999731.7910383,0,49,276
1623999731.8065696,0,50,425
1623999731.8066778,0,49,277
1623999731.8068392,0,50,360
1623999731.8227181,0,49,271
1623999731.8229246,0,50,336
1623999731.8230562,0,49,262
1623999731.838635,0,50,326
1623999731.839344,0,49,254
1623999731.8396103,0,50,299
1623999731.8545783,0,49,239
1623999731.854837,0,50,278
1623999731.854973,0,49,232
1623999731.8706257,0,50,269
1623999731.870779,0,49,228
1623999731.8708413,0,50,264
1623999731.870978,0,49,225
1623999731.8865905,0,50,261
1623999731.8868182,0,49,223
1623999731.8869154,0,50,258
1623999731.9026034,0,49,219
1623999731.903384,0,50,256
1623999731.9035077,0,49,218
1623999731.9187245,0,50,252
1623999731.9188583,0,49,213
1623999731.9190173,0,50,229
1623999731.934841,0,49,204
1623999731.9350529,0,50,211
1623999731.935074,0,49,199
1623999731.9507616,0,50,202
1623999731.9508996,0,49,196
1623999731.9509134,0,50,195
1623999731.950924,0,49,195
1623999731.9671912,0,50,192
1623999731.9674013,0,49,194
1623999731.9675682,0,50,190
1623999731.9825535,0,49,193
1623999731.9827354,0,50,188
1623999731.982931,0,49,191
1623999731.9985456,0,50,185
1623999731.9987378,0,49,190
1623999731.9988852,0,50,184
1623999732.0146015,0,50,181
1623999732.0147355,0,49,189
1623999732.030574,0,50,179
1623999732.0314496,0,49,194
