timestamp,isNeg,taxel_id,adc
1624012159.5915823,0,48,737
1624012159.607893,0,48,559
1624012159.6079905,0,49,733
1624012159.6082065,0,48,525
1624012159.6243048,0,49,506
1624012159.6245205,0,48,521
1624012159.6248076,0,49,433
1624012159.6249363,0,48,513
1624012159.6400065,0,49,396
1624012159.640025,0,48,500
1624012159.6400373,0,49,341
1624012159.655975,0,48,491
1624012159.6561108,0,49,315
1624012159.6561291,0,48,485
1624012159.6718247,0,49,303
1624012159.6719522,0,48,472
1624012159.6721368,0,49,281
1624012159.6881614,0,48,458
1624012159.6885223,0,49,269
1624012159.6885602,0,48,451
1624012159.7037878,0,49,262
1624012159.7038355,0,48,443
1624012159.7040408,0,49,245
1624012159.7041762,0,48,427
1624012159.7196062,0,49,232
1624012159.7197804,0,48,415
1624012159.719953,0,49,220
1624012159.7358854,0,48,405
1624012159.7359874,0,49,211
1624012159.7361639,0,48,400
1624012159.7523205,0,49,208
1624012159.752624,0,48,398
1624012159.7528021,0,49,205
1624012159.7679703,0,48,392
1624012159.7679808,0,49,202
1624012159.7680385,0,48,382
1624012159.7838674,0,49,199
1624012159.7839906,0,48,376
1624012159.7840738,0,49,194
1624012159.7841234,0,48,371
1624012159.8001082,0,49,191
1624012159.80013,0,48,365
1624012159.8163533,0,49,190
1624012159.8164568,0,48,357
1624012159.8167076,0,49,186
1624012159.8168888,0,48,343
1624012159.8319166,0,49,174
1624012159.8320339,0,48,288
1624012159.8321445,0,49,148
1624012159.8479345,0,48,226
1624012159.848088,0,49,135
1624012159.8481011,0,48,198
1624012159.8636973,0,49,129
1624012159.863867,0,48,183
1624012159.8640387,0,49,125
1624012159.8641648,0,48,176
1624012159.879683,0,49,122
1624012159.8805807,0,48,174
1624012159.8958385,0,49,120
1624012159.8960233,0,48,170
1624012159.896038,0,49,117
1624012159.8960748,0,48,168
1624012159.911696,0,49,115
1624012159.9119987,0,48,165
1624012159.9120207,0,49,114
1624012159.927839,0,48,164
1624012159.9279246,0,49,113
1624012159.927949,0,48,162
1624012159.9442616,0,49,112
1624012159.9447181,0,48,160
1624012159.9448118,0,49,110
1624012159.9449668,0,48,158
1624012159.9599144,0,49,109
1624012159.9599407,0,48,156
1624012159.9758344,0,49,108
