timestamp,isNeg,taxel_id,adc
1623930238.553154,0,3,982
1623930238.5534096,0,4,739
1623930238.5535555,0,9,635
1623930238.5691214,0,3,947
1623930238.5692878,0,4,358
1623930238.5694401,0,9,532
1623930238.5696008,0,3,941
1623930238.5697796,0,4,260
1623930238.5850961,0,9,507
1623930238.585344,0,3,947
1623930238.5855854,0,4,228
1623930238.586274,0,9,501
1623930238.6012313,0,3,948
1623930238.601341,0,4,207
1623930238.6014965,0,9,493
1623930238.6016917,0,3,946
1623930238.6018162,0,4,187
1623930238.6019561,0,9,482
1623930238.6172159,0,3,948
1623930238.617325,0,4,165
1623930238.6175067,0,9,473
1623930238.6176462,0,3,946
1623930238.6332052,0,4,150
1623930238.6335292,0,9,469
1623930238.633701,0,3,942
1623930238.6338854,0,4,144
1623930238.633906,0,9,466
1623930238.6496484,0,3,935
1623930238.6499703,0,4,140
1623930238.6502461,0,9,463
1623930238.6502988,0,3,933
1623930238.6504498,0,4,138
1623930238.6651468,0,9,462
1623930238.6655235,0,3,930
1623930238.6656191,0,4,136
1623930238.665739,0,9,461
1623930238.6813822,0,3,927
1623930238.6815271,0,4,134
1623930238.6818404,0,9,460
1623930238.6818569,0,3,928
1623930238.681957,0,4,132
1623930238.681995,0,9,459
1623930238.6970968,0,3,931
1623930238.697262,0,4,131
1623930238.6974337,0,9,460
1623930238.697694,0,3,933
1623930238.7136896,0,9,461
1623930238.7138977,0,3,924
1623930238.729206,0,3,922
1623930238.7293742,0,4,130
1623930238.7294898,0,4,129
1623930238.74537,0,4,128
1623930238.7454205,0,9,460
1623930238.7610922,0,3,921
1623930238.7613726,0,4,127
1623930238.7614496,0,3,919
1623930238.7616298,0,4,125
1623930238.761794,0,9,458
1623930238.7777393,0,3,917
1623930238.77794,0,3,914
1623930238.7932463,0,4,124
1623930238.7933588,0,9,455
1623930238.7935383,0,9,450
1623930238.8092067,0,3,913
1623930238.8093057,0,4,123
1623930238.8094816,0,9,451
1623930238.8250878,0,3,915
1623930238.8417456,0,3,917
1623930238.8422058,0,4,122
1623930238.8423781,0,9,452
1623930238.842487,0,3,915
1623930238.842692,0,4,121
1623930238.8428257,0,9,454
1623930238.8570673,0,3,914
1623930238.8572106,0,4,120
1623930238.8574739,0,9,456
1623930238.8574975,0,3,911
1623930238.8731253,0,4,121
1623930238.8734696,0,9,455
1623930238.8735769,0,3,907
1623930238.8735921,0,4,120
1623930238.8736217,0,9,456
1623930238.8890712,0,3,906
1623930238.8892298,0,4,119
1623930238.889364,0,4,118
1623930238.9052885,0,9,459
1623930238.905907,0,3,908
1623930238.9212568,0,9,460
1623930238.9212785,0,3,910
1623930238.9213564,0,4,117
1623930238.9215293,0,9,457
1623930238.9370334,0,3,912
1623930238.937224,0,9,459
1623930238.9530823,0,9,460
1623930238.9532793,0,4,116
1623930238.9534488,0,9,459
1623930238.9696195,0,9,460
1623930238.9697156,0,3,909
1623930238.969838,0,4,115
1623930238.9851325,0,9,461
1623930238.9853914,0,4,113
1623930238.98546,0,9,459
1623930239.001044,0,4,112
1623930239.0012596,0,9,453
1623930239.0014207,0,3,907
1623930239.0016024,0,4,109
1623930239.0017767,0,9,452
1623930239.017089,0,3,910
1623930239.017209,0,4,107
1623930239.0173755,0,9,455
1623930239.0175288,0,3,911
1623930239.0329795,0,4,105
1623930239.0338554,0,9,465
1623930239.0342515,0,3,912
1623930239.0342712,0,4,104
1623930239.0343106,0,9,467
1623930239.0491807,0,3,910
1623930239.049234,0,4,103
1623930239.0494223,0,9,466
1623930239.0495877,0,3,912
1623930239.0497272,0,4,102
1623930239.0650406,0,9,455
1623930239.0652432,0,3,910
1623930239.065377,0,9,450
1623930239.0810301,0,3,912
1623930239.081255,0,4,101
1623930239.0815027,0,9,445
1623930239.0816762,0,3,911
1623930239.0817783,0,4,102
1623930239.0818315,0,9,441
1623930239.0970485,0,3,910
1623930239.0977976,0,4,101
1623930239.0980399,0,9,437
1623930239.1130393,0,4,102
1623930239.1133533,0,9,434
1623930239.1136148,0,3,912
1623930239.1136405,0,4,101
1623930239.1138046,0,9,432
1623930239.12895,0,3,913
1623930239.129157,0,4,102
1623930239.1293569,0,9,433
1623930239.1296182,0,3,912
1623930239.1451225,0,9,430
1623930239.1456504,0,3,913
1623930239.145663,0,4,103
1623930239.1457977,0,9,425
1623930239.1614692,0,3,914
1623930239.1617496,0,9,421
1623930239.17704,0,4,104
1623930239.1771834,0,9,420
1623930239.1773868,0,3,915
1623930239.192995,0,4,103
1623930239.1931405,0,9,419
1623930239.193277,0,3,919
1623930239.1934564,0,9,417
1623930239.2090325,0,9,411
1623930239.2094927,0,3,917
1623930239.2095118,0,4,104
1623930239.225574,0,3,916
1623930239.2260532,0,4,105
1623930239.2260818,0,9,409
1623930239.2411907,0,3,917
1623930239.241354,0,4,106
1623930239.2413816,0,9,410
1623930239.2572284,0,3,918
1623930239.2573557,0,4,105
1623930239.2573755,0,3,922
1623930239.2732022,0,3,925
1623930239.273397,0,4,106
1623930239.273548,0,9,409
1623930239.289224,0,3,926
1623930239.290006,0,3,925
1623930239.3050828,0,3,924
1623930239.305311,0,4,107
1623930239.3054183,0,9,408
1623930239.3212914,0,3,926
1623930239.3214486,0,9,407
1623930239.321474,0,9,406
1623930239.3372152,0,3,928
1623930239.337235,0,3,927
1623930239.353691,0,3,925
1623930239.369394,0,3,924
1623930239.3694139,0,4,108
1623930239.3694935,0,9,404
1623930239.3850274,0,3,919
1623930239.3852878,0,4,107
1623930239.385369,0,9,406
1623930239.4014928,0,3,917
1623930239.4015343,0,4,108
1623930239.401621,0,4,107
1623930239.4017727,0,9,405
1623930239.4170115,0,9,404
1623930239.4331417,0,4,108
1623930239.4333198,0,9,407
1623930239.433617,0,3,916
1623930239.4338477,0,4,110
1623930239.4338622,0,9,411
1623930239.4493604,0,3,917
1623930239.4494607,0,4,114
1623930239.4494772,0,9,421
1623930239.449718,0,3,914
1623930239.449837,0,4,117
1623930239.4650822,0,9,427
1623930239.4652977,0,3,913
1623930239.4655278,0,4,118
1623930239.465679,0,9,431
1623930239.4811094,0,3,915
1623930239.482086,0,4,117
1623930239.4822524,0,9,445
1623930239.482468,0,3,917
1623930239.4826353,0,9,455
1623930239.4972324,0,3,916
1623930239.49734,0,9,461
1623930239.497354,0,3,913
1623930239.5130243,0,9,467
1623930239.5132596,0,4,119
1623930239.5134199,0,9,487
1623930239.5293236,0,3,910
1623930239.5293434,0,4,122
1623930239.5293515,0,9,494
1623930239.5295193,0,3,908
1623930239.5296721,0,4,124
1623930239.545661,0,9,487
1623930239.5458968,0,3,905
1623930239.5460677,0,4,126
1623930239.5462682,0,9,484
1623930239.5611825,0,3,903
1623930239.561444,0,4,128
1623930239.5616055,0,9,494
1623930239.561621,0,4,131
1623930239.5616581,0,9,500
1623930239.5773847,0,4,138
1623930239.5774364,0,9,496
1623930239.5775917,0,3,901
1623930239.593075,0,4,146
1623930239.5932434,0,9,492
1623930239.5934064,0,4,158
1623930239.5935864,0,9,497
1623930239.609665,0,3,900
1623930239.610029,0,4,163
1623930239.6102624,0,3,899
1623930239.6103988,0,4,168
1623930239.625402,0,9,499
1623930239.6254206,0,3,898
1623930239.6256692,0,9,500
1623930239.6412363,0,3,899
1623930239.6415129,0,9,501
1623930239.6415896,0,3,898
1623930239.641745,0,4,169
1623930239.6419032,0,9,497
1623930239.6571884,0,3,897
1623930239.6573985,0,4,170
1623930239.6575649,0,9,485
1623930239.6577034,0,3,896
1623930239.6730719,0,4,169
1623930239.6738865,0,9,480
1623930239.6740558,0,3,894
1623930239.6742144,0,4,166
1623930239.674372,0,9,478
1623930239.6893885,0,3,892
1623930239.6895466,0,4,163
1623930239.6897073,0,3,891
1623930239.6897206,0,4,161
1623930239.7051961,0,9,472
1623930239.705323,0,4,160
1623930239.7055097,0,9,468
1623930239.7213013,0,4,161
1623930239.721365,0,9,465
1623930239.7214518,0,3,890
1623930239.7215014,0,4,160
1623930239.737655,0,9,467
1623930239.7378945,0,3,891
1623930239.7529674,0,9,468
1623930239.7530832,0,3,890
1623930239.7533412,0,9,465
1623930239.76922,0,4,159
1623930239.769326,0,9,464
1623930239.7694633,0,3,889
1623930239.7695277,0,4,158
1623930239.785182,0,9,462
1623930239.7854214,0,3,888
1623930239.7855783,0,4,156
1623930239.7857296,0,9,461
1623930239.8016787,0,4,158
1623930239.8018875,0,9,463
1623930239.8021393,0,3,889
1623930239.8023033,0,4,157
1623930239.8171775,0,3,888
1623930239.8172855,0,4,158
1623930239.8174968,0,9,462
1623930239.8330853,0,9,461
1623930239.8490798,0,3,887
1623930239.8492265,0,9,460
1623930239.8656876,0,4,157
1623930239.881164,0,4,155
1623930239.8813329,0,9,458
1623930239.8814774,0,3,888
1623930239.8816555,0,9,457
1623930239.8971233,0,4,156
1623930239.9130745,0,9,458
1623930239.9132192,0,4,157
1623930239.929561,0,3,887
1623930239.9297898,0,3,888
1623930239.9451623,0,4,156
1623930239.9610984,0,3,887
1623930239.961273,0,4,154
1623930239.961411,0,9,457
1623930239.9771876,0,3,886
1623930239.9772134,0,4,153
1623930239.9773378,0,9,456
1623930239.9935267,0,4,154
1623930239.9937458,0,3,887
1623930239.993919,0,4,155
1623930239.9940999,0,9,457
1623930240.0092537,0,3,888
1623930240.0094094,0,4,156
1623930240.0094292,0,9,456
1623930240.025051,0,9,455
1623930240.0252392,0,4,155
1623930240.0411017,0,3,887
1623930240.0413313,0,4,156
1623930240.0414236,0,3,886
1623930240.0415876,0,4,153
1623930240.057238,0,4,152
1623930240.0578308,0,9,454
1623930240.0732875,0,9,453
1623930240.0734208,0,4,153
1623930240.0734434,0,9,454
1623930240.0891035,0,3,887
1623930240.0893793,0,4,155
1623930240.0894296,0,9,455
1623930240.0895417,0,3,888
1623930240.0897636,0,4,154
1623930240.105063,0,9,456
1623930240.1218624,0,3,887
1623930240.1221395,0,4,155
1623930240.1223886,0,9,454
1623930240.1226428,0,3,886
1623930240.122794,0,4,153
1623930240.1369443,0,3,885
1623930240.1371331,0,4,152
1623930240.137349,0,3,884
1623930240.1531446,0,4,151
1623930240.1533298,0,9,453
1623930240.1536458,0,3,886
1623930240.1537356,0,4,153
1623930240.1539881,0,9,454
1623930240.1690512,0,4,152
1623930240.16912,0,9,453
1623930240.1692922,0,3,887
1623930240.1694381,0,4,153
1623930240.1854045,0,9,452
1623930240.1854188,0,3,886
1623930240.1854236,0,4,152
1623930240.2009923,0,3,885
1623930240.2012196,0,4,154
1623930240.2012377,0,3,886
1623930240.2012465,0,9,453
1623930240.2172194,0,3,885
1623930240.2173238,0,4,153
1623930240.2173653,0,9,452
1623930240.217491,0,3,884
1623930240.2330613,0,4,151
1623930240.2331052,0,9,450
1623930240.2331233,0,3,885
1623930240.2331321,0,9,449
1623930240.2492716,0,9,450
1623930240.2498121,0,3,884
1623930240.2649536,0,9,451
1623930240.28127,0,3,885
1623930240.2813864,0,3,884
1623930240.2814054,0,9,450
1623930240.2969959,0,3,885
1623930240.297198,0,9,451
1623930240.3137393,0,4,152
1623930240.3138173,0,4,151
1623930240.3141255,0,9,450
1623930240.3292472,0,3,884
1623930240.3294408,0,4,150
1623930240.345009,0,3,885
1623930240.3610356,0,4,151
1623930240.3612018,0,3,884
1623930240.3613565,0,9,449
1623930240.3777952,0,3,885
1623930240.3780673,0,4,150
1623930240.3782382,0,9,448
1623930240.3930604,0,9,449
1623930240.39326,0,9,448
1623930240.4252467,0,9,449
1623930240.4252627,0,9,448
1623930240.441626,0,9,447
1623930240.4571676,0,3,884
1623930240.4731975,0,9,446
1623930240.4732194,0,9,448
1623930240.4890573,0,9,446
1623930240.4892042,0,4,149
1623930240.5050058,0,3,885
1623930240.5058725,0,4,150
1623930240.5060427,0,9,445
1623930240.5214,0,3,884
1623930240.521423,0,9,446
1623930240.5215902,0,3,883
1623930240.521614,0,4,149
1623930240.5372207,0,9,447
1623930240.5372417,0,3,884
1623930240.5532048,0,3,883
1623930240.5533123,0,4,150
1623930240.5533392,0,9,445
1623930240.5694194,0,4,149
1623930240.5698524,0,9,444
1623930240.5701818,0,3,884
1623930240.5702028,0,4,150
1623930240.585054,0,9,445
1623930240.5852377,0,4,149
1623930240.5855308,0,9,446
1623930240.6012967,0,3,883
1623930240.601317,0,9,445
1623930240.6170802,0,3,884
1623930240.617246,0,3,883
1623930240.6330793,0,4,150
1623930240.6339133,0,9,444
1623930240.64906,0,4,149
1623930240.6809874,0,9,443
1623930240.713728,0,4,150
1623930240.7290578,0,4,149
1623930240.7610607,0,3,882
1623930240.7612064,0,3,883
1623930240.7775223,0,4,150
1623930240.7778182,0,3,882
1623930240.7929919,0,4,149
1623930240.809238,0,3,883
1623930240.8092546,0,4,150
1623930240.8250113,0,4,149
1623930240.8251245,0,9,444
1623930240.8575025,0,3,882
1623930240.8578582,0,9,443
1623930240.8731892,0,9,444
1623930240.8732417,0,9,443
1623930240.889107,0,3,881
1623930240.905437,0,9,442
1623930240.9054587,0,3,883
1623930240.9054697,0,9,444
1623930240.9217865,0,9,443
1623930240.9219518,0,3,882
1623930240.9371207,0,3,881
1623930240.9371338,0,4,150
1623930240.9532356,0,4,149
1623930240.9532511,0,9,442
1623930240.9689784,0,3,882
1623930240.9855185,0,3,881
1623930241.0330524,0,4,148
1623930241.0332067,0,3,880
1623930241.0333622,0,4,149
