timestamp,isNeg,taxel_id,adc
1623930635.4086108,0,61,781
1623930635.4248192,0,61,426
1623930635.4250302,0,3,1000
1623930635.4252284,0,61,319
1623930635.4253643,0,3,983
1623930635.440615,0,61,286
1623930635.4407904,0,3,970
1623930635.4572215,0,61,268
1623930635.4574404,0,3,960
1623930635.4576554,0,61,250
1623930635.4577963,0,3,957
1623930635.4579906,0,5,859
1623930635.4725978,0,61,259
1623930635.4728348,0,3,958
1623930635.473031,0,5,514
1623930635.4732103,0,61,258
1623930635.4887776,0,3,953
1623930635.4888923,0,5,391
1623930635.488951,0,61,256
1623930635.4890912,0,5,351
1623930635.5048707,0,61,253
1623930635.5050664,0,3,944
1623930635.505147,0,5,328
1623930635.5052607,0,61,250
1623930635.5055132,0,3,928
1623930635.505539,0,5,311
1623930635.5211117,0,61,246
1623930635.5217402,0,3,918
1623930635.5217583,0,5,294
1623930635.536867,0,61,243
1623930635.5369923,0,3,915
1623930635.5370922,0,5,277
1623930635.537332,0,61,238
1623930635.537417,0,3,908
1623930635.5374293,0,5,259
1623930635.5525844,0,61,234
1623930635.5528767,0,3,904
1623930635.5529885,0,5,249
1623930635.5531616,0,61,232
1623930635.5686235,0,3,899
1623930635.568981,0,5,243
1623930635.569003,0,61,231
1623930635.5691512,0,3,896
1623930635.5692961,0,5,240
1623930635.5846927,0,61,230
1623930635.5855293,0,3,893
1623930635.5858557,0,5,238
1623930635.5859196,0,61,229
1623930635.5860565,0,5,236
1623930635.6007407,0,5,232
1623930635.616627,0,61,228
1623930635.6168895,0,3,894
1623930635.6171365,0,5,228
1623930635.6172793,0,61,225
1623930635.6174397,0,5,223
1623930635.6325474,0,61,223
1623930635.632964,0,3,893
1623930635.6330633,0,5,218
1623930635.6331,0,61,222
1623930635.6487012,0,3,892
1623930635.6495817,0,5,216
1623930635.6498332,0,61,220
1623930635.6498837,0,3,891
1623930635.6500208,0,5,215
1623930635.6651552,0,61,217
1623930635.6651685,0,3,890
1623930635.6652412,0,5,213
1623930635.66544,0,61,215
1623930635.6654875,0,3,889
1623930635.6656282,0,5,212
1623930635.680812,0,61,213
1623930635.68095,0,3,886
1623930635.6810946,0,5,211
1623930635.696728,0,61,211
1623930635.696966,0,3,883
1623930635.6969886,0,5,209
1623930635.697036,0,61,209
1623930635.6972682,0,3,878
1623930635.6973507,0,5,207
1623930635.7132788,0,61,208
1623930635.7134306,0,3,874
1623930635.713624,0,5,206
1623930635.713756,0,61,207
1623930635.728897,0,5,205
1623930635.729161,0,61,206
1623930635.7291799,0,3,873
1623930635.744756,0,3,875
1623930635.744928,0,5,204
1623930635.7451205,0,61,205
1623930635.7453103,0,3,872
1623930635.7455244,0,5,205
1623930635.7608917,0,5,204
1623930635.777258,0,61,206
1623930635.7775683,0,5,205
1623930635.7777874,0,61,205
1623930635.777914,0,3,869
1623930635.7780914,0,5,204
1623930635.7927122,0,61,204
1623930635.7929657,0,3,868
1623930635.793213,0,5,203
1623930635.7932582,0,61,203
1623930635.8088121,0,3,867
1623930635.8090012,0,61,202
1623930635.8090417,0,3,865
1623930635.824571,0,3,864
1623930635.8249323,0,5,202
1623930635.8249989,0,61,201
1623930635.8251424,0,3,865
1623930635.825309,0,5,201
1623930635.840597,0,61,205
1623930635.8414667,0,3,869
1623930635.8416257,0,5,208
1623930635.8418326,0,9,844
1623930635.856619,0,61,209
1623930635.8568516,0,3,847
1623930635.857023,0,5,214
1623930635.857151,0,9,801
1623930635.8573124,0,61,210
1623930635.8574321,0,3,829
1623930635.8576071,0,5,215
1623930635.8725927,0,9,787
1623930635.8728564,0,61,211
1623930635.872963,0,3,799
1623930635.8731272,0,9,762
1623930635.8732722,0,61,214
1623930635.8885574,0,3,776
1623930635.8888476,0,5,218
1623930635.8890204,0,9,727
1623930635.8891633,0,61,215
1623930635.889283,0,3,768
1623930635.8894322,0,5,220
1623930635.889596,0,9,697
1623930635.9055438,0,61,214
1623930635.905672,0,3,767
1623930635.9058235,0,5,219
1623930635.905976,0,9,681
