timestamp,isNeg,taxel_id,adc
1624268066.1559365,0,3,774
1624268066.1560035,0,3,611
1624268066.1720355,0,3,526
1624268066.187702,0,3,486
1624268066.1879272,0,3,442
1624268066.2038856,0,3,420
1624268066.2198174,0,3,412
1624268066.2199912,0,3,400
1624268066.2362065,0,3,390
1624268066.2365048,0,3,384
1624268066.2517366,0,3,379
1624268066.2677073,0,3,370
1624268066.2680023,0,3,362
1624268066.2837667,0,3,359
1624268066.2997139,0,3,358
1624268066.3156123,0,3,355
1624268066.3157926,0,3,351
1624268066.3317635,0,3,349
1624268066.3476155,0,3,348
1624268066.3479438,0,3,338
1624268066.3636777,0,29,997
1624268066.3644395,0,29,934
1624268066.3795712,0,3,342
1624268066.3797898,0,27,936
1624268066.3800716,0,29,708
1624268066.3802094,0,3,339
1624268066.3804033,0,27,871
1624268066.380413,0,29,594
1624268066.3957717,0,27,791
1624268066.3960235,0,29,520
1624268066.3960493,0,3,334
1624268066.4119227,0,27,699
1624268066.4120314,0,29,489
1624268066.4122849,0,3,330
1624268066.4123662,0,27,620
1624268066.4125414,0,29,470
1624268066.428402,0,3,331
1624268066.4286833,0,27,545
1624268066.4288955,0,29,428
1624268066.429033,0,3,330
1624268066.4292657,0,27,490
1624268066.4438791,0,29,404
1624268066.4441211,0,27,459
1624268066.4442618,0,29,395
1624268066.459849,0,3,328
1624268066.45995,0,27,440
1624268066.4600945,0,29,387
1624268066.4602685,0,3,327
1624268066.4603393,0,27,431
1624268066.460488,0,29,377
1624268066.4757662,0,3,326
1624268066.4759405,0,27,424
1624268066.4761074,0,29,370
1624268066.4763012,0,3,325
1624268066.492358,0,27,413
1624268066.4926536,0,29,367
1624268066.4928377,0,27,405
1624268066.492992,0,29,364
1624268066.5080314,0,3,324
1624268066.5080454,0,27,399
1624268066.5081663,0,29,360
1624268066.508401,0,27,396
1624268066.52416,0,29,357
1624268066.524183,0,27,394
1624268066.5242834,0,29,355
1624268066.5400255,0,3,325
1624268066.5401385,0,27,393
1624268066.540294,0,29,352
1624268066.540521,0,3,323
1624268066.5405738,0,27,387
1624268066.540608,0,29,343
1624268066.5560095,0,3,322
1624268066.5565958,0,27,382
1624268066.5569825,0,29,340
1624268066.5569954,0,3,320
1624268066.57187,0,27,377
1624268066.5720243,0,3,317
1624268066.5720997,0,27,374
1624268066.5723362,0,29,339
1624268066.587814,0,3,315
